ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
14,002,0000,140020000426,2,14-002-0000-05,00026,5,01,14002000042601,01,1,1,67,07,2019,0102,014,221,3,01,2020,0301,3,,2
14,002,0000,140020000526,2,14-002-0000-05,00030,5,01,14002000052601,01,1,3,50,11,2019,0301,014,221,1,,,,,,2
14,002,0000,140020000528,2,14-002-0000-05,00030,5,01,14002000052801,01,1,1,15,12,2019,0501,014,221,1,,,,,,2
14,002,0000,140020000533,2,14-002-0000-05,00030,5,01,14002000053301,01,1,3,22,08,2017,0301,014,221,1,,,,,,2
14,002,0000,140020000536,2,14-002-0000-05,00031,5,01,14002000053601,01,1,3,17,12,2019,0301,014,221,3,12,2019,0301,3,,2
14,002,0000,140020000597,2,14-002-0000-05,00035,5,01,14002000059701,01,1,1,51,12,2019,0102,014,221,1,,,,,,2
14,002,0000,140020000642,2,14-002-0000-05,00035,5,01,14002000064201,01,1,1,43,04,2019,0102,014,221,3,02,2020,0102,1,01,2
14,002,0000,140020000664,2,14-002-0000-05,00036,5,01,14002000066401,01,1,1,23,05,2015,0101,014,213,2,,,,,,2
14,002,0000,140020000666,2,14-002-0000-05,00036,5,01,14002000066601,01,1,3,38,08,2016,0301,014,221,3,12,2019,0301,1,03,2
14,002,0000,140020000666,2,14-002-0000-05,00036,5,01,14002000066602,02,1,1,12,04,2015,0301,014,221,3,08,2018,0301,1,99,2
14,002,0000,140020000666,2,14-002-0000-05,00036,5,01,14002000066603,03,1,1,11,04,2015,0301,014,221,3,08,2018,0301,1,06,2
14,002,0000,140020000668,2,14-002-0000-05,00036,5,01,14002000066801,01,1,1,21,08,2018,9999,014,221,3,12,2018,0301,1,05,2
14,002,0000,140020000715,2,14-002-0000-05,00038,5,01,14002000071501,01,1,3,29,10,2015,0301,014,221,1,,,,,,2
14,002,0000,140020000724,2,14-002-0000-05,00038,5,01,14002000072401,01,1,1,33,01,2020,0102,014,221,1,,,,,,2
14,002,0000,140020000729,2,14-002-0000-05,00038,5,01,14002000072901,01,1,1,26,06,2019,0101,014,221,1,,,,,,2
14,002,0000,140020000733,2,14-002-0000-05,00038,5,01,14002000073301,01,1,1,21,09,2019,0101,014,221,1,,,,,,2
14,002,0000,140020000811,2,14-002-0000-05,00039,5,01,14002000081101,01,1,1,15,01,2020,0501,014,221,1,,,,,,2
14,002,0000,140020000812,2,14-002-0000-05,00040,4,01,14002000081201,01,1,1,48,03,2015,0101,014,221,1,,,,,,2
14,002,0000,140020000882,2,14-002-0000-05,00043,5,01,14002000088201,01,1,1,27,05,2016,0102,014,221,3,11,2016,0102,3,,2
14,002,0000,140020000892,2,14-002-0000-05,00044,4,01,14002000089201,01,1,1,23,06,2018,0102,014,221,3,12,2019,0102,1,03,2
14,002,0000,140020000896,2,14-002-0000-05,00045,4,01,14002000089601,01,1,1,50,01,2019,0102,014,221,3,01,2020,0301,1,01,2
14,002,0000,140020000985,2,14-002-0000-05,00047,4,01,14002000098501,01,1,3,72,01,2020,0301,014,221,1,,,,,,2
14,002,0000,140020001000,2,14-002-0000-05,00047,4,01,14002000100001,01,1,3,15,09,2018,0501,014,221,1,,,,,,2
14,002,0000,140020001016,2,14-002-0000-05,00048,4,01,14002000101601,01,1,3,31,02,2020,0102,014,221,1,,,,,,2
14,002,0000,140020001016,2,14-002-0000-05,00048,4,01,14002000101602,02,1,1,9,02,2020,0301,014,221,1,,,,,,2
14,002,0000,140020001016,2,14-002-0000-05,00048,4,01,14002000101603,03,1,1,3,02,2020,0301,014,221,1,,,,,,2
14,002,0000,140020001022,2,14-002-0000-05,00048,4,01,14002000102201,01,1,1,31,04,2017,0301,014,221,3,99,9999,9999,9,,2
14,002,0000,140020001051,2,14-002-0000-05,00050,5,01,14002000105101,01,1,3,45,06,2019,0301,014,221,1,,,,,,2
14,002,0000,140020001051,2,14-002-0000-05,00050,5,01,14002000105102,02,1,3,21,06,2019,0301,014,221,1,,,,,,2
14,002,0000,140020001051,2,14-002-0000-05,00050,5,01,14002000105103,03,1,3,10,06,2019,0301,014,221,1,,,,,,2
14,002,0000,140020001051,2,14-002-0000-05,00050,5,01,14002000105104,04,1,3,10,06,2019,0301,014,221,1,,,,,,2
14,002,0000,140020001093,2,14-002-0000-05,00054,4,01,14002000109301,01,1,1,33,01,2020,0101,014,221,1,,,,,,2
14,002,0000,140020001103,2,14-002-0000-05,00054,4,01,14002000110301,01,1,1,29,04,2016,0301,014,221,3,01,2018,0801,3,,2
14,002,0000,140020001148,2,14-002-0000-04,00003,4,01,14002000114801,01,1,1,40,06,2019,0101,014,221,3,12,2019,0301,1,01,2
14,002,0000,140020001210,2,14-002-0000-04,00006,2,01,14002000121001,01,1,1,22,01,2020,0101,014,221,1,,,,,,2
14,002,0000,140020001286,2,14-002-0000-04,00009,2,01,14002000128601,01,1,1,19,11,2015,0101,014,221,1,,,,,,2
14,002,0000,140020001307,2,14-002-0000-03,00001,2,01,14002000130701,01,1,1,24,03,2018,0401,014,221,1,,,,,,1
14,002,0000,140020001334,2,14-002-0000-03,00001,2,01,14002000133401,02,1,3,14,01,2020,0501,014,221,1,,,,,,1
14,002,0000,140020001334,2,14-002-0000-03,00001,2,01,14002000133402,03,1,1,12,01,2020,0501,014,221,1,,,,,,1
14,002,0000,140020001334,2,14-002-0000-03,00001,2,01,14002000133403,01,1,1,18,08,2019,0501,014,221,1,,,,,,1
